Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR,
Pangasius hupophthalmus,Iridescent shark,القرش ذو الوان الطيف,South East Asia,جنوب شرق آسيا,"They have 2 barbels in front of their mouth that used to locate their prey.

They are paternal mouth-brooders, which is the male will protect and care for the fertilized eggs in his mouth until they hatch and become free swimming. 

They have been known jumping out of the tanks. 

Conservation Status: 

These animals are now listed as endagered due to human high demand of the meat.","لديها زوج من قرون الإستشعار فى مقدمة الفم لتحديد مكان الفريسة.

هذه الأسماك تظهر رعاية أبوية للصغار حيث يحتفظ الذكر بالبيض المُخصب داخل فمه لحمايته ورعايته حتى يفقس وتصبح الصغار قادرة على السباحة.

يٌعرف عن هذه الأسماك أنها تقفز خارج الأحواض.

حالة المحافظة عليها:
صُنفت هذه الأسماك حالياً كنوع مهدد بالإنقراض نتيجة لزيادة الطلب البشرى على لحمها.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Barbonymus schwanenfeldii,Golden Tinfoil Barb,السمك الذهبى ذو الشوكة القصديرية,South East Asia,جنوب شرق آسيا,"There is no easy way to differentiate the sexes of this fish when they are young but once they get to adult size, the females become round in shape. 

They can lay thousands of eggs but show no parental care, often even eating their own eggs.

Their common name (tinfoil barb) is derived from the “tin-plated” look of their scales.","لاتوجد طريقة سهلة للتمييز بين الجنسين بالنسبة لهذا النوع من الأسماك فى الصغرولكن عند البلوغ , تأخذ الاناث شكلا دائريا.

يمكنها وضع الآف من البيض لكنها لاترعاه وهى فى أغلب الأحيان تأكله.

إسمها الشائع (ذو الشوكة قصديرية اللون) بسب لون معدن القصدير على قشورها.",
,,,,,,,
,,,,,,,0
,,,,,,,
,,,,,,,
Scleropages Formosus,Asian Arowana,الأروانا الأسيوية,South East Asia,جنوب شرق آسيا,"These freshwater fish are also known as ‘bony tongues.’  The name comes from the toothed bone on the floor of their mouth.  The ‘tongue’ is equipped with teeth that grind against the teeth on the roof of the mouth. 

They are known for their ability to obtain oxygen form the surface by sucking air into their swim bladder which is lined with capillaries similar to lung tissue.  Because of this, these fish are capable of adapting to environments with low oxygen levels.

They have been spotted jumping out of the water to catch insects.","تُعرف أسماك المياه العذبة هذه ""بذات اللسان العظمىِ "" أيضا . هذا الأسم جاء بسب العظام المسننة الموجودة بأرضية الفم. اللسان مجهز بأسنان تطحن عكس اتجاه الأسنان العلوية.

تُعرف هذه الأسماك أيضاً بقدرتها على جلب الأُكسجين من السطح وذلك بشفط الهواء لمثانتها الهوائية المبطنة بشعيرات دموية تشبه أنسجة الرئة.وبسبب هذا،هذه الاسماك قادرة على التكييف مع بيئات نسب الاكسجين بها منخفضة المستوى.

تم رصد هذه الأسماك وهى تقفز خارج الماء لصيد الحشرات.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Osphronemus goramy,Giant Gourami,الجورامى العملاق,South East Asia,جنوب شرق آسيا,"There is no easy way to differentiate the sexes of this fish when they are young but once they get to adult size, the females become round in shape. 

 They can lay thousands of eggs but show no parental care, often even eating their own eggs.

Their common name (tinfoil barb) is derived from the “tin-plated” look of their scales.","لاتوجد طريقة سهلة للتمييز بين الجنسين بالنسبة لهذا النوع من الأسماك فى الصغرولكن عند البلوغ , تأخذ الاناث شكلا دائريا.

يمكنها وضع الآف من البيض لكنها لاترعاه وهى فى أغلب الأحيان تأكله.

إسمها الشائع (ذو الشوكة قصديرية اللون) بسب لون معدن القصدير على قشورها.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Chitala ornata,Clown Knifefish,المهرج السّكينى,South Asia,جنوب آسيا,"Their common name comes from their long knife- like body shape.

They are good in hunting and will try just about any fish that fits into their mouth.

These fish are also known as Clown Featherback and Spotted Knifefish.","         أُطلق عليها هذا الأسم بسب جسمها الطويل الذى يشبه السكين.

         هذه الأسماك ماهرة فى صيد الفرائس الحية وهى تحاول صيد أى سمكة تناسب حجم فمها.

        تعرف هذه الأسماك أيضاً بالمهرج ذو الظهر الريشى أو السمك السكّينى المُرقط.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Catlocarpio siamensis,Giant Carp,الشبوط العملاق,Indo China,الهند الصينية,"These are the largest species of carp around the world. 

They are one of the biggest freshwater fish and can weigh up tp 300 kg. These fish migrate during breeding season in October. 

Conservation Status: 
Giant carp are now listed as critically endagered due to pollution and excessive commercial fishing.","هذه الأسماك هى أكبر أسماك الشبوط حجماً بجميع انحاء العالم.

هذه الأسماك واحدة من أكبر أسماك المياه العذبة حجماً ويمكن أن يصل وزنها نحو 300 كجم.

حالة المحافظة عليها:

بسبب الصيد التجارى المفرط والتلوث صُنفت أسماك الشبوط العملاق كنوع مهدد بشدة بالإنقراض.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dantiodes microlepis,Borneo Tigerfish,سمك النمر بورنيو,Asia,قارة آسيا,"They get their common name from tiger-like pattern in their body. 

Their scientific name comes from the greek word meaning ""form,likeness"" 

They are misidentified as the siamese tigerfish because of their pattern on their body, however true siamese tigerfish have 3 to 5 vertical stripes on it's flanks.","          أُطلق عليهم هذا الأسم الشائع بسبب جسمها المخطط الذى يشبه جلد النمر.

        أسمها العلمى أصله كلمة يونانية تعنى "" التماثل الشكلى"".

      تم تعريفها بطريقة خاطئة على أنها سمكة النمر السيامى بسب الخطوط الموجودة على جسمها, غير أن سمكة النمر السيامى الأصلية لديها 3 - 5 خطوط عمودية على الخاصرة.",
